		0.02	110.222	118.957	158.236	50.0	21.5
0.000	0.000	5.78	112.100	121.020	161.102	50.0	34.8
0.000	0.000	5.80	112.209	120.863	161.259	50.0	35.8
0.000	0.000	5.82	111.523	120.950	160.579	50.0	32.9
0.000	0.000	5.84	112.021	120.944	161.017	50.0	33.6
0.000	0.000	5.86	112.096	120.858	161.017	50.0	26.9
0.000	0.000	5.88	111.452	120.933	160.674	50.0	27.2
0.000	0.000	5.90	112.080	120.865	161.136	50.0	30.6
0.000	0.000	5.92	112.113	120.882	161.147	50.0	30.6
0.000	0.000	5.94	111.454	121.011	160.685	50.0	23.8
0.000	0.000	5.96	111.856	121.164	161.005	50.0	32.9
0.000	0.000	5.98	111.882	120.992	161.136	50.0	32.7
0.000	0.000	6.00	111.518	121.042	160.737	50.0	32.0
0.000	0.000	6.02	111.966	121.239	161.255	50.0	26.7
0.000	0.000	6.04	112.190	121.007	161.343	50.0	36.7
0.000	0.000	6.06	111.460	121.132	160.741	50.0	35.9
0.000	0.000	6.08	112.049	121.099	161.188	50.0	32.0
0.000	0.000	6.10	112.023	121.171	161.121	50.0	30.8
0.000	0.000	6.12	111.467	121.253	160.769	50.0	26.5
0.000	0.000	6.14	111.989	121.316	161.331	50.0	26.2
0.000	0.000	6.16	112.137	121.272	161.252	50.0	30.6
0.000	0.000	6.18	111.654	121.353	160.917	50.0	29.8
0.000	0.000	6.20	112.084	121.330	161.285	50.0	31.8
0.000	0.000	6.22	111.980	121.435	161.147	50.0	29.7
0.000	0.000	6.24	111.551	121.319	160.902	50.0	31.0
0.000	0.000	6.26	111.572	121.107	160.864	50.0	33.0
0.000	0.000	6.28	111.876	120.847	160.954	50.0	34.9
0.000	0.000	6.30	111.497	121.019	160.714	50.0	33.9
0.000	0.000	6.32	111.731	121.172	161.069	50.0	36.4
0.000	0.000	6.34	112.146	120.916	161.314	50.0	34.2
0.000	0.000	6.36	111.516	121.115	160.705	50.0	32.7
0.000	0.000	6.38	111.934	121.020	161.301	50.0	35.9
0.000	0.000	6.40	111.785	120.969	161.215	50.0	36.0
0.000	0.000	6.42	111.413	121.055	160.749	50.0	34.2
0.000	0.000	6.44	111.708	121.206	161.048	50.0	30.6
0.000	0.000	6.46	111.918	120.923	161.198	50.0	34.9
0.000	0.000	6.48	111.404	121.051	160.690	50.0	34.8
0.000	0.000	6.50	111.935	121.036	161.296	50.0	36.6
0.000	0.000	6.52	112.046	120.928	161.316	50.0	35.4
0.000	0.000	6.54	111.344	120.935	160.683	50.0	33.4
0.000	0.000	6.56	112.025	120.824	161.193	50.0	33.4
0.000	0.000	6.58	111.945	120.844	161.325	50.0	31.9
0.000	0.000	6.60	111.497	121.035	160.685	50.0	31.9
0.000	0.000	6.62	111.983	120.873	161.132	50.0	32.4
0.000	0.000	6.64	111.899	120.914	161.095	50.0	31.8
0.000	0.000	6.66	111.387	120.923	160.614	50.0	31.9
0.000	0.000	6.68	111.826	120.974	161.069	50.0	37.2
0.000	0.000	6.70	111.793	121.141	161.016	50.0	36.6
0.000	0.000	6.72	111.410	121.073	160.739	50.0	32.8
0.000	0.000	6.74	112.179	121.146	161.366	50.0	32.9
0.000	0.000	6.76	112.132	121.060	161.427	50.0	34.1
0.000	0.000	6.78	111.534	121.154	160.777	50.0	33.6
0.000	0.000	6.80	112.158	121.120	161.355	50.0	34.4
0.000	0.000	6.82	112.018	121.144	161.433	50.0	36.3
0.000	0.000	6.84	111.542	121.326	160.913	50.0	36.6
0.000	0.000	6.86	112.189	121.267	161.507	50.0	36.5
0.000	0.000	6.88	112.149	121.206	161.536	50.0	30.6
0.000	0.000	6.90	111.640	121.386	161.080	50.0	20.4
0.000	0.000	6.92	111.997	121.524	161.363	50.0	28.7
0.000	0.000	6.94	112.232	121.413	161.572	50.0	34.5
0.000	0.000	6.96	111.551	121.511	161.124	50.0	35.9
0.000	0.000	6.98	112.206	121.404	161.554	50.0	36.6
0.000	0.000	7.00	112.300	121.198	161.617	50.0	33.7
0.000	0.000	7.02	111.565	121.170	160.846	50.0	36.9
0.000	0.000	7.04	112.235	121.048	161.354	50.0	36.6
0.000	0.000	7.06	111.986	121.007	161.389	50.0	38.3
0.000	0.000	7.08	111.538	121.126	161.040	50.0	33.9
